description,vendor_name,created_at,invoice_date,due_date,payment_date,amount,settled,outstanding
,Tonya Patel,2/6/15 12:10,1/6/15 0:00,1/7/15 0:00,27/07/2015 13:51,61.91,61.9,0.01
,Wesley Snyder,2/1/15 12:58,31/12/2014 00:00,30/01/2015 00:00,16/02/2015 10:38,61.94,61.94,0
,Gwendolyn Larson,29/08/2017 09:17,29/08/2017 00:00,12/9/17 0:00,12/10/17 12:40,61.97,61.97,0
,Aaron Parks,29/02/2016 00:53,29/02/2016 00:00,14/03/2016 00:00,25/03/2016 07:53,61.98,61.98,0
,Alexis King,19/11/2014 12:36,15/11/2014 00:00,15/12/2014 00:00,23/01/2015 13:54,61.98,61.98,0
,Alyssa Erickson,19/08/2014 20:15,15/08/2014 00:00,14/09/2014 00:00,1/10/14 7:15,61.98,61.98,0
,Ana Proctor,15/02/2017 07:26,15/02/2017 00:00,17/03/2017 00:00,24/03/2017 16:38,61.98,61.98,0
,Andrew Stephens,8/10/13 9:40,8/10/13 0:00,22/10/2013 00:00,18/12/2013 13:37,61.98,61.98,0
,Ashley Rose,25/06/2014 10:25,25/06/2014 00:00,2/7/14 0:00,5/8/14 7:44,61.98,61.98,0
,Bruce Clements,3/11/14 11:43,3/11/14 0:00,17/11/2014 00:00,2/12/14 11:35,61.98,61.98,0
,Cameron Brown,17/06/2014 10:07,17/06/2014 00:00,17/07/2014 00:00,25/07/2014 08:49,61.98,61.98,0
,Carmen Keith,6/9/12 9:25,6/9/12 0:00,20/09/2012 00:00,28/09/2012 08:59,61.98,61.98,0
,Chad Lopez,24/06/2013 18:05,24/06/2013 00:00,3/7/13 0:00,3/7/13 18:39,61.98,61.98,0
,Christopher Mckee,22/07/2014 08:23,19/07/2014 00:00,18/08/2014 00:00,6/9/14 8:37,61.98,61.98,0
,Christopher Ray,17/12/2016 14:29,28/11/2016 00:00,28/12/2016 00:00,22/02/2017 11:45,61.98,61.98,0
,Christopher Ray,1/3/17 14:10,1/3/17 0:00,31/03/2017 00:00,11/5/17 14:19,61.98,61.98,0
,Daniel Mcintyre,2/9/15 9:27,21/08/2015 00:00,4/9/15 0:00,2/9/15 9:28,61.98,61.98,0
,David Patton,12/2/15 14:30,12/2/15 0:00,19/02/2015 00:00,10/3/15 20:41,61.98,61.98,0
,David Patton,3/2/15 13:04,3/2/15 0:00,10/2/15 0:00,15/02/2015 13:23,61.98,61.98,0
,Diane Higgins,1/7/15 10:18,25/06/2015 00:00,23/07/2015 00:00,12/8/15 15:29,61.98,61.98,0
,Diane Higgins,22/12/2014 10:07,3/12/14 0:00,31/12/2014 00:00,18/02/2015 00:39,61.98,61.98,0
,Donald Gross,24/08/2017 09:28,24/08/2017 00:00,31/08/2017 00:00,11/10/17 14:05,61.98,61.98,0
,Elizabeth Williams,15/07/2016 16:10,15/07/2016 00:00,14/08/2016 00:00,8/10/16 7:44,61.98,61.98,0
,Emily Martin,24/06/2013 18:08,24/06/2013 00:00,3/7/13 0:00,26/06/2013 09:24,61.98,61.98,0
,Erica Abbott,31/07/2015 08:50,31/07/2015 00:00,14/08/2015 00:00,7/9/15 9:16,61.98,61.98,0
,Erica Abbott,9/6/14 14:46,9/6/14 0:00,23/06/2014 00:00,16/07/2014 14:49,61.98,61.98,0
,Erica Abbott,9/7/14 8:22,9/7/14 0:00,23/07/2014 00:00,27/08/2014 10:21,61.98,61.98,0
,Erica Abbott,17/03/2015 10:03,17/03/2015 00:00,31/03/2015 00:00,18/05/2015 06:46,61.98,61.98,0
,Erica Abbott,14/10/2014 08:01,14/10/2014 00:00,28/10/2014 00:00,1/12/14 15:25,61.98,61.98,0
,Erica Abbott,24/06/2014 12:40,24/06/2014 00:00,8/7/14 0:00,16/07/2014 14:51,61.98,61.98,0
,Erica Abbott,25/04/2014 10:33,25/04/2014 00:00,9/5/14 0:00,19/05/2014 12:13,61.98,61.98,0
,Erica Abbott,8/4/15 9:41,8/4/15 0:00,22/04/2015 00:00,15/06/2015 07:15,61.98,61.98,0
,Erica Abbott,7/7/14 10:07,7/7/14 0:00,21/07/2014 00:00,27/08/2014 10:20,61.98,61.98,0
,Erica Abbott,29/07/2015 07:32,29/07/2015 00:00,12/8/15 0:00,7/9/15 9:14,61.98,61.98,0
,Erica Abbott,28/10/2014 10:55,28/10/2014 00:00,11/11/14 0:00,18/12/2014 15:28,61.98,61.98,0
,Erica Abbott,4/7/14 9:46,4/7/14 0:00,18/07/2014 00:00,27/08/2014 10:19,61.98,61.98,0
,Erica Abbott,25/04/2014 10:30,25/04/2014 00:00,9/5/14 0:00,27/05/2014 11:16,61.98,61.98,0
,Erica Abbott,28/10/2014 10:59,28/10/2014 00:00,11/11/14 0:00,18/12/2014 15:29,61.98,61.98,0
,Gregory Lindsey,5/8/16 8:34,5/8/16 0:00,19/08/2016 00:00,8/8/16 9:52,61.98,61.98,0
,Gregory Walls,19/11/2014 12:33,15/11/2014 00:00,15/12/2014 00:00,23/01/2015 13:54,61.98,61.98,0
,James Brown,19/01/2015 16:24,19/01/2015 00:00,18/02/2015 00:00,28/01/2015 14:51,61.98,61.98,0
,James Garcia,11/4/17 6:56,12/4/17 0:00,12/5/17 0:00,16/06/2017 15:48,61.98,61.98,0
,James Garcia,10/5/17 7:59,10/5/17 0:00,9/6/17 0:00,1/7/17 14:09,61.98,61.98,0
,Janice Wang,22/04/2016 01:53,22/04/2016 00:00,6/5/16 0:00,21/06/2016 13:54,61.98,61.98,0
,Jason King,3/10/13 13:41,3/10/13 0:00,17/10/2013 00:00,17/12/2013 13:55,61.98,61.98,0
,Jennifer Gates,11/5/17 14:22,2/5/17 0:00,1/6/17 0:00,19/05/2017 11:16,61.98,58.38,3.6
,Jennifer Gates,6/4/16 15:14,1/4/16 0:00,1/5/16 0:00,13/04/2016 11:01,61.98,53.58,8.4
,Jennifer Gates,4/1/17 11:54,1/1/17 0:00,31/01/2017 00:00,8/2/17 15:13,61.98,7.98,54
,Jennifer Gates,6/4/16 15:14,1/4/16 0:00,1/5/16 0:00,11/5/16 14:07,61.98,3.18,58.8
,Jeremiah Cox,15/07/2014 08:17,12/7/14 0:00,11/8/14 0:00,23/08/2014 13:42,61.98,61.98,0
,John Brown DDS,13/05/2016 11:47,23/03/2016 00:00,22/04/2016 00:00,22/05/2016 12:27,61.98,61.98,0
,John Hall,14/03/2017 12:52,10/3/17 0:00,24/03/2017 00:00,14/03/2017 12:52,61.98,61.98,0
,Joseph Mcdonald,8/5/14 15:02,1/4/14 0:00,1/5/14 0:00,9/5/14 14:08,61.98,61.98,0
,Joshua Clark,4/8/16 8:57,21/07/2016 00:00,4/8/16 0:00,4/8/16 8:57,61.98,61.98,0
,Joshua Jackson,21/04/2016 23:53,22/04/2016 00:00,6/5/16 0:00,26/04/2016 11:53,61.98,25.98,36
,Julie Martin,2/10/15 12:31,30/09/2015 00:00,30/10/2015 00:00,2/12/15 10:36,61.98,61.98,0
,Katie Wilson,16/02/2015 09:55,30/01/2015 00:00,13/02/2015 00:00,19/03/2015 08:53,61.98,61.98,0
,Kendra Watson,24/04/2014 10:05,24/04/2014 00:00,24/05/2014 00:00,6/6/14 10:35,61.98,61.98,0
,Kendra Watson,24/04/2014 09:47,24/04/2014 00:00,24/05/2014 00:00,6/6/14 10:35,61.98,61.98,0
,Kenneth Cross,29/08/2012 10:21,29/08/2012 00:00,12/9/12 0:00,3/9/12 9:11,61.98,61.98,0
,Kim Alvarez,8/9/14 6:29,27/08/2014 00:00,10/9/14 0:00,5/11/14 9:05,61.98,61.98,0
,Kimberly Chase,1/9/16 14:56,15/07/2016 00:00,14/08/2016 00:00,25/09/2016 15:22,61.98,61.98,0
,Kimberly Wilcox,10/1/14 12:45,10/1/14 0:00,31/01/2014 00:00,26/03/2014 11:02,61.98,61.98,0
,Kristi Duncan,18/04/2016 09:29,21/03/2016 00:00,28/03/2016 00:00,18/04/2016 09:30,61.98,61.98,0
,Kristina Harris,6/3/17 12:41,8/3/17 0:00,7/4/17 0:00,12/5/17 7:53,61.98,61.98,0
,Marcia Huang,5/11/14 9:04,1/11/14 0:00,15/11/2014 00:00,17/11/2014 10:53,61.98,61.98,0
,Marcia Huang,9/6/16 18:24,31/03/2016 00:00,30/04/2016 00:00,9/6/16 18:26,61.98,61.98,0
,Marcia Huang,13/06/2014 06:44,31/03/2014 00:00,14/04/2014 00:00,13/06/2014 06:45,61.98,61.98,0
,Marcia Huang,1/1/15 1:53,31/12/2014 00:00,15/01/2015 00:00,13/01/2015 12:53,61.98,61.98,0
,Marcia Huang,1/11/15 1:53,1/11/15 0:00,15/11/2015 00:00,13/11/2015 15:53,61.98,61.98,0
,Mark Mullins,27/03/2016 23:53,28/03/2016 00:00,11/4/16 0:00,19/04/2016 09:53,61.98,61.98,0
,Maureen Bullock,1/12/14 10:11,1/12/14 0:00,31/12/2014 00:00,23/01/2015 14:11,61.98,61.98,0
,Maureen Bullock,3/9/14 11:31,3/9/14 0:00,3/10/14 0:00,9/10/14 9:06,61.98,61.98,0
,Maureen Bullock,10/7/13 10:49,10/7/13 0:00,20/07/2013 00:00,16/09/2013 12:23,61.98,61.98,0
,Maureen Bullock,3/2/14 11:57,3/2/14 0:00,5/3/14 0:00,19/03/2014 12:58,61.98,61.98,0
,Meagan Davis,14/12/2015 01:53,14/12/2015 00:00,28/12/2015 00:00,12/2/16 13:53,61.98,61.98,0
,Meagan Davis,15/02/2017 08:53,15/02/2017 00:00,1/3/17 0:00,20/02/2017 10:53,61.98,61.98,0
,Meredith Park,7/7/14 9:34,5/7/14 0:00,4/8/14 0:00,16/08/2014 15:46,61.98,61.98,0
,Michael Allen,29/01/2014 19:09,29/01/2014 00:00,28/02/2014 00:00,1/4/14 6:05,61.98,61.98,0
,Michael Jenkins,19/11/2014 12:24,14/11/2014 00:00,14/12/2014 00:00,23/01/2015 13:51,61.98,61.98,0
,Micheal Wallace,14/03/2014 08:04,20/01/2014 00:00,2/2/14 0:00,14/03/2014 08:50,61.98,61.98,0
,Mrs. Nicole Davis MD,27/09/2016 11:26,20/09/2016 00:00,4/10/16 0:00,27/09/2016 11:31,61.98,61.98,0
,Nathan Rocha,14/11/2014 09:42,6/11/14 0:00,6/12/14 0:00,30/01/2015 14:58,61.98,61.98,0
,Paul Thomas,29/01/2015 11:42,29/01/2015 00:00,28/02/2015 00:00,11/3/15 12:36,61.98,61.98,0
,Raymond Henson,24/02/2017 09:53,24/02/2017 00:00,10/3/17 0:00,28/03/2017 11:53,61.98,61.98,0
,Robert Hall,11/11/16 12:34,20/10/2016 00:00,19/11/2016 00:00,6/1/17 10:00,61.98,61.98,0
,Sarah Gardner DDS,31/07/2014 14:38,31/07/2014 00:00,7/8/14 0:00,9/9/14 15:09,61.98,61.98,0
,Shawn Walker,7/5/14 14:29,7/5/14 0:00,6/6/14 0:00,4/8/14 10:59,61.98,61.98,0
,Sherry Brown,29/08/2014 09:13,29/08/2014 00:00,5/9/14 0:00,1/9/14 12:25,61.98,61.98,0
,Stephanie Frazier,9/4/16 0:53,9/4/16 0:00,23/04/2016 00:00,27/05/2016 09:53,61.98,61.98,0
,Steven Gardner,15/03/2016 13:38,15/03/2016 00:00,14/04/2016 00:00,4/5/16 9:14,61.98,61.98,0
,Susan Daugherty,31/01/2014 15:04,31/01/2014 00:00,14/02/2014 00:00,4/2/14 11:41,61.98,61.98,0
,Thomas Dominguez,19/06/2016 13:55,17/06/2016 00:00,22/06/2016 00:00,17/08/2016 16:25,61.98,61.98,0
,Tiffany Haynes,29/02/2016 15:04,29/02/2016 00:00,30/03/2016 00:00,29/04/2016 13:27,61.98,61.98,0
,Veronica Garrett DVM,14/03/2014 08:34,5/12/13 0:00,19/12/2013 00:00,14/03/2014 08:52,61.98,61.98,0
,Walter Caldwell,11/5/16 14:29,6/5/16 0:00,20/05/2016 00:00,16/06/2016 09:59,61.98,61.98,0
,Walter Caldwell,27/04/2016 10:33,22/04/2016 00:00,6/5/16 0:00,16/06/2016 09:58,61.98,61.98,0
,Walter Caldwell,4/7/16 14:30,3/6/16 0:00,17/06/2016 00:00,4/7/16 20:05,61.98,61.98,0
,Wesley Snyder,13/04/2015 09:28,10/4/15 0:00,10/5/15 0:00,5/6/15 12:36,61.98,61.98,0
,William Rodriguez,15/02/2017 12:35,11/1/17 0:00,10/2/17 0:00,28/04/2017 08:11,61.98,61.98,0
,William Rodriguez,20/08/2016 16:13,7/6/16 0:00,7/7/16 0:00,6/9/16 13:28,61.98,61.98,0
,Zachary Williams,19/05/2016 09:41,6/5/16 0:00,5/6/16 0:00,2/6/16 20:58,61.98,61.98,0
,April Baker,9/1/15 11:44,8/1/15 0:00,7/2/15 0:00,1/4/15 13:13,62.02,61.66,0.36
,Marilyn Hale,5/8/15 16:03,20/05/2015 00:00,3/6/15 0:00,5/8/15 16:03,62.25,62.25,0
,Erin Jones,1/2/17 14:22,31/01/2017 00:00,17/02/2017 00:00,10/2/17 14:43,62.3,62.3,0
,Jody Rodriguez,11/4/15 9:58,11/4/15 0:00,11/5/15 0:00,27/04/2015 18:36,62.48,62.48,0
,Shelby Thompson,20/04/2015 13:19,20/04/2015 00:00,20/05/2015 00:00,7/5/15 2:07,62.48,62.48,0
,Nathan Rocha,17/08/2015 12:21,14/08/2015 00:00,13/09/2015 00:00,5/10/15 13:15,62.51,62.51,0
,Sierra Baker,1/12/14 9:45,29/11/2014 00:00,29/12/2014 00:00,19/01/2015 13:15,62.54,62.54,0
,Cynthia Davis,13/04/2014 12:40,10/4/14 0:00,10/5/14 0:00,31/05/2014 10:24,62.73,62.73,0
,Angel Hale,15/07/2015 18:18,14/07/2015 00:00,13/08/2015 00:00,23/10/2015 11:37,62.78,62.78,0
,Joseph Wyatt,15/02/2016 13:50,15/02/2016 00:00,16/03/2016 00:00,16/05/2016 10:55,62.88,62.88,0
,Richard Rhodes,30/04/2015 08:34,29/04/2015 00:00,29/05/2015 00:00,29/05/2015 11:21,62.93,62.93,0
,Lawrence Schwartz,13/07/2015 13:02,10/7/15 0:00,9/8/15 0:00,28/08/2015 12:16,63.1,63.1,0
,Michael Schaefer,13/05/2014 14:50,13/05/2014 00:00,27/05/2014 00:00,30/05/2014 17:57,63.12,63.12,0
,Christine Schmidt,19/08/2016 23:54,19/08/2016 00:00,3/9/16 0:00,4/10/16 12:54,63.18,63.18,0
,Elizabeth Kelly,28/07/2014 10:28,28/07/2014 00:00,4/8/14 0:00,20/08/2014 13:11,63.18,63.18,0
,Nathan Rocha,18/06/2015 16:07,17/06/2015 00:00,17/07/2015 00:00,14/08/2015 11:16,63.22,63.22,0
,Rebecca Li,3/12/14 16:31,1/12/14 0:00,31/12/2014 00:00,7/1/15 11:51,63.24,62.17,1.07
,Rebecca Li,13/04/2014 11:50,7/4/14 0:00,7/5/14 0:00,2/7/14 9:15,63.29,63.29,0
,Jared Walker,27/11/2014 14:54,25/11/2014 00:00,25/12/2014 00:00,7/1/15 11:55,63.3,63.3,0
,Sierra Baker,20/08/2014 09:21,15/08/2014 00:00,14/09/2014 00:00,13/10/2014 09:58,63.36,63.36,0
,Diane Higgins,3/2/15 21:41,8/1/15 0:00,5/2/15 0:00,25/02/2015 13:13,63.42,63.42,0
,Steven Collins,23/04/2015 14:04,23/04/2015 00:00,30/04/2015 00:00,2/5/15 22:37,63.48,63.48,0
,Nathan Rocha,22/03/2014 19:22,17/03/2014 00:00,16/04/2014 00:00,31/05/2014 13:14,63.55,63.55,0
,Wesley Snyder,9/6/15 14:56,8/6/15 0:00,8/7/15 0:00,7/8/15 14:55,63.57,63.57,0
,Rebecca Li,8/7/14 10:37,7/7/14 0:00,6/8/14 0:00,8/9/14 14:30,63.6,63.6,0
,Nicole Taylor,2/6/15 12:25,1/6/15 0:00,1/7/15 0:00,26/06/2015 10:05,63.68,2.98,60.7
,Nathan Rocha,14/08/2015 12:54,13/08/2015 00:00,12/9/15 0:00,5/10/15 13:15,63.73,63.73,0
,Curtis Mcmahon,4/2/14 17:33,5/2/14 0:00,7/3/14 0:00,10/2/14 13:27,63.78,63.78,0
,Kimberly Jackson,26/03/2014 11:29,26/03/2014 00:00,25/04/2014 00:00,22/04/2014 09:27,63.78,63.78,0
,Jim Scott,1/8/15 8:20,27/07/2015 00:00,2/8/15 0:00,7/8/15 23:39,63.89,63.89,0
,Nicole Burns,6/1/15 13:45,5/1/15 0:00,4/2/15 0:00,13/02/2015 16:03,63.93,19.36,44.57
,Stephen Beck,14/08/2015 13:03,13/08/2015 00:00,12/9/15 0:00,2/11/15 11:21,63.93,63.93,0
,Thomas Dominguez,7/4/15 8:51,1/4/15 0:00,6/4/15 0:00,19/04/2015 17:25,63.98,63.98,0
,Thomas Dominguez,18/07/2016 19:16,11/7/16 0:00,16/07/2016 00:00,17/08/2016 10:43,63.98,63.98,0
,Thomas Dominguez,13/04/2015 08:38,6/4/15 0:00,11/4/15 0:00,25/04/2015 14:59,63.98,63.98,0
,Thomas Dominguez,13/04/2015 09:05,7/4/15 0:00,12/4/15 0:00,25/04/2015 15:03,63.98,63.98,0
,Johnny Walker,12/8/15 14:08,11/8/15 0:00,10/9/15 0:00,16/10/2015 11:59,64,64,0
,Nicole Cruz,14/03/2016 11:36,1/3/16 0:00,15/03/2016 00:00,20/05/2016 14:02,64.06,64.06,0
,Alyssa Rivera,14/04/2014 21:38,7/3/14 0:00,21/03/2014 00:00,30/05/2014 15:22,64.12,64.12,0
,Christopher Rodriguez,22/08/2014 05:49,22/08/2014 00:00,21/09/2014 00:00,2/9/14 12:29,64.28,64.28,0
,Nathan Rocha,12/1/15 9:27,9/1/15 0:00,8/2/15 0:00,20/03/2015 14:17,64.29,64.29,0
,Nathan Rocha,23/06/2015 13:20,22/06/2015 00:00,22/07/2015 00:00,14/08/2015 11:16,64.34,64.34,0
,Andrew Stewart,11/7/14 9:48,10/7/14 0:00,9/8/14 0:00,1/9/14 9:13,64.35,64.35,0
,Carlos Freeman,2/1/15 12:54,31/12/2014 00:00,30/01/2015 00:00,20/03/2015 15:25,64.38,64.38,0
,Emily Ross,12/3/14 13:33,7/2/14 0:00,9/3/14 0:00,15/04/2014 09:42,64.38,64.38,0
,James Hayes,11/12/13 12:17,6/12/13 0:00,5/1/14 0:00,7/2/14 16:02,64.38,64.38,0
,Joanna Jenkins,14/01/2016 08:12,16/12/2015 00:00,15/01/2016 00:00,22/01/2016 13:05,64.38,64.38,0
,Jodi Mcbride,18/10/2016 12:37,13/10/2016 00:00,27/10/2016 00:00,23/01/2017 12:11,64.38,64.38,0
,Maria Mathews,4/8/16 8:38,19/07/2016 00:00,2/8/16 0:00,20/09/2016 10:32,64.38,64.38,0
,Denise Brown,27/05/2015 13:11,26/05/2015 00:00,25/06/2015 00:00,26/06/2015 09:59,64.44,64.44,0
,Amber Williams,3/8/15 17:29,3/8/15 0:00,2/9/15 0:00,4/8/15 6:38,64.48,64.48,0
,Nathan Rocha,14/08/2014 12:04,13/08/2014 00:00,12/9/14 0:00,31/10/2014 12:52,64.48,64.48,0
,Eddie Frazier,20/04/2015 23:35,20/04/2015 00:00,27/04/2015 00:00,13/07/2015 00:59,64.54,9.94,54.6
,Ellen Thompson,26/05/2016 19:04,12/5/16 0:00,11/6/16 0:00,13/06/2016 09:16,64.55,64.55,0
,Edwin Lee,4/12/14 11:45,19/11/2014 00:00,19/12/2014 00:00,13/03/2015 15:18,64.68,64.68,0
,Courtney Fry,4/2/14 18:32,14/01/2014 00:00,13/02/2014 00:00,7/4/14 15:15,64.77,64.77,0
,Jody Long,16/04/2015 13:23,14/04/2015 00:00,14/05/2015 00:00,19/06/2015 14:59,64.78,64.78,0
,Sierra Baker,3/3/14 18:36,28/02/2014 00:00,30/03/2014 00:00,3/5/14 19:09,64.78,64.78,0
,Courtney Fry,11/6/14 12:41,10/6/14 0:00,10/7/14 0:00,15/08/2014 10:55,64.8,64.8,0
,Kyle Strickland,23/02/2015 10:07,20/02/2015 00:00,22/03/2015 00:00,20/04/2015 10:03,64.8,64.8,0
,Allison Melton,22/02/2014 13:02,14/02/2014 00:00,16/03/2014 00:00,3/5/14 19:00,64.84,64.84,0
,Karen Gonzalez,17/03/2014 23:08,14/03/2014 00:00,13/04/2014 00:00,31/05/2014 10:18,64.84,64.84,0
,Erica Lewis,1/5/15 11:02,30/04/2015 00:00,30/05/2015 00:00,5/6/15 11:07,64.89,64.89,0
,Katherine Colon,27/03/2015 09:44,23/03/2015 00:00,22/04/2015 00:00,30/04/2015 14:23,64.91,64.91,0
,Cheyenne Barr,11/8/15 12:58,10/8/15 0:00,9/9/15 0:00,2/10/15 11:19,64.96,64.96,0
,Catherine Jackson,10/5/17 10:21,10/5/17 0:00,9/6/17 0:00,1/7/17 14:17,64.98,64.98,0
,Catherine Jackson,18/12/2016 13:01,11/11/16 0:00,11/12/16 0:00,9/2/17 19:36,64.98,64.98,0
,Catherine Jackson,12/1/16 15:47,9/12/15 0:00,8/1/16 0:00,21/01/2016 15:21,64.98,64.98,0
,Catherine Jackson,11/4/17 12:27,12/4/17 0:00,12/5/17 0:00,19/06/2017 10:15,64.98,64.98,0
,Catherine Jackson,15/03/2017 09:06,15/03/2017 00:00,14/04/2017 00:00,31/05/2017 16:44,64.98,64.98,0
,Chelsea Sims,29/11/2015 15:54,29/11/2015 00:00,29/12/2015 00:00,7/12/15 17:42,64.98,64.98,0
,Debra Wright,8/11/14 14:01,8/11/14 0:00,8/12/14 0:00,13/02/2015 18:41,64.98,64.98,0
,Kathryn Lee,10/11/15 11:01,3/11/15 0:00,13/11/2015 00:00,18/11/2015 09:28,64.98,64.98,0
,Kathryn White,29/07/2015 10:14,22/07/2015 00:00,21/08/2015 00:00,10/8/15 20:27,64.98,64.98,0
,Pamela Brown,19/04/2014 15:07,17/04/2014 00:00,17/05/2014 00:00,2/7/14 10:53,64.98,64.98,0
,Thomas Dominguez,16/02/2015 12:22,7/2/15 0:00,9/3/15 0:00,22/03/2015 12:19,64.98,64.98,0
,Lee Williams,16/10/2015 13:33,15/10/2015 00:00,14/11/2015 00:00,19/11/2015 16:12,65.18,65.18,0
,Christian Parsons,9/3/16 11:44,1/3/16 0:00,31/03/2016 00:00,9/3/16 16:51,65.19,65.19,0
,Jacob Lewis,14/11/2013 15:58,14/11/2013 00:00,21/11/2013 00:00,15/11/2013 02:20,65.19,65.19,0
,Johnny Walker,1/7/15 15:03,30/06/2015 00:00,30/07/2015 00:00,16/10/2015 15:22,65.23,65.23,0
,Nathan Rocha,12/5/15 12:23,11/5/15 0:00,10/6/15 0:00,3/7/15 11:43,65.54,65.54,0
,Alexis Thompson,21/08/2015 10:54,21/08/2015 00:00,28/08/2015 00:00,27/08/2015 09:17,65.58,65.58,0
,Elizabeth Miller,14/09/2015 15:21,14/09/2015 00:00,21/09/2015 00:00,5/10/15 11:53,65.58,65.58,0
,Emily Gibson,24/06/2014 14:09,24/06/2014 00:00,1/7/14 0:00,31/07/2014 08:53,65.58,65.58,0
,Joan Stafford,10/4/17 9:52,10/4/17 0:00,17/04/2017 00:00,10/5/17 15:11,65.58,65.58,0
,Mark Williams,18/11/2016 13:13,18/11/2016 00:00,25/11/2016 00:00,29/11/2016 12:30,65.58,65.58,0
,Melanie Osborn,27/03/2015 14:35,27/03/2015 00:00,3/4/15 0:00,12/4/15 11:09,65.58,65.58,0
,Mr. Ernest Chan MD,27/07/2016 15:57,27/07/2016 00:00,3/8/16 0:00,12/9/16 13:23,65.58,65.58,0
,Sandra Watson,21/03/2017 16:49,21/03/2017 00:00,28/03/2017 00:00,25/04/2017 15:59,65.58,65.58,0
,Rodney Maxwell,16/05/2017 18:21,16/05/2017 00:00,15/06/2017 00:00,15/06/2017 13:56,65.62,65.62,0
,Curtis Mcmahon,9/1/14 7:31,9/1/14 0:00,8/2/14 0:00,26/01/2014 15:00,65.63,65.63,0
,Curtis Mcmahon,5/3/14 20:57,6/3/14 0:00,5/4/14 0:00,12/3/14 0:53,65.63,65.63,0
,Curtis Mcmahon,9/1/14 7:33,9/1/14 0:00,8/2/14 0:00,26/01/2014 15:00,65.63,65.63,0
,Nathan Rocha,2/2/15 9:22,30/01/2015 00:00,1/3/15 0:00,20/03/2015 14:17,65.69,65.69,0
,Kara Pugh,25/03/2015 16:07,24/03/2015 00:00,23/04/2015 00:00,29/05/2015 11:09,65.78,65.78,0
,Eddie Frazier,13/01/2014 22:20,13/01/2014 00:00,20/01/2014 00:00,20/01/2014 00:32,65.83,65.83,0
,Kristen Scott,4/2/14 23:46,3/2/14 0:00,6/2/14 0:00,18/02/2014 22:58,65.83,65.83,0
,Chase Page,2/2/15 9:54,30/01/2015 00:00,1/3/15 0:00,1/4/15 11:39,65.87,65.46,0.41
,Adam Graves,15/04/2015 11:11,20/03/2015 00:00,19/04/2015 00:00,16/04/2015 12:48,65.98,65.98,0
,Ryan Reyes,29/03/2015 14:48,27/03/2015 00:00,26/04/2015 00:00,29/03/2015 14:49,65.98,65.98,0
,Thomas Dominguez,17/08/2015 11:27,12/8/15 0:00,17/08/2015 00:00,17/09/2015 15:39,65.98,65.98,0
,Thomas Dominguez,28/09/2015 07:48,26/09/2015 00:00,1/10/15 0:00,24/10/2015 11:42,65.98,65.98,0
,Travis Simpson,13/05/2014 09:49,13/05/2014 00:00,27/05/2014 00:00,30/05/2014 16:26,66.04,66.04,0
,Nathan Rocha,11/3/14 11:07,3/3/14 0:00,2/4/14 0:00,31/05/2014 13:14,66.14,66.14,0
,John Bennett,22/09/2015 17:31,21/09/2015 00:00,21/10/2015 00:00,30/10/2015 10:35,66.15,66.15,0
,Sandra Cole,7/5/14 10:15,7/5/14 0:00,6/6/14 0:00,9/5/14 14:06,66.18,66.18,0
,Sean Daugherty,23/12/2014 17:23,23/12/2014 00:00,22/01/2015 00:00,9/1/15 13:18,66.29,66.29,0
,Robert Collins,3/12/14 15:57,1/12/14 0:00,31/12/2014 00:00,13/03/2015 12:05,66.34,66.34,0
,Pamela Brown,10/5/14 13:45,5/5/14 0:00,4/6/14 0:00,25/07/2014 15:22,66.48,66.48,0
,George Moss,27/06/2017 13:53,25/05/2017 00:00,24/06/2017 00:00,28/07/2017 08:58,66.59,66.59,0
,Richard Rhodes,6/11/14 22:05,5/11/14 0:00,5/12/14 0:00,26/01/2015 13:54,66.7,66.7,0
,David Johnson,18/12/2013 15:13,13/12/2013 00:00,27/12/2013 00:00,19/02/2014 14:14,66.78,66.78,0
,Debra Reid,2/1/17 13:23,31/12/2016 00:00,30/01/2017 00:00,27/01/2017 15:22,66.78,66.78,0
,Debra Reid,25/05/2016 13:53,25/05/2016 00:00,24/06/2016 00:00,21/07/2016 10:00,66.78,66.78,0
,Debra Reid,18/11/2016 11:20,18/11/2016 00:00,18/12/2016 00:00,21/12/2016 10:35,66.78,66.78,0
,Elizabeth Miller,14/06/2016 10:22,14/06/2016 00:00,21/06/2016 00:00,28/06/2016 09:19,66.78,66.78,0
,Stacy Miller,14/07/2014 12:51,14/07/2014 00:00,21/07/2014 00:00,16/07/2014 09:41,66.78,66.78,0
,Wesley Anthony,11/9/15 10:49,11/9/15 0:00,18/09/2015 00:00,23/09/2015 11:03,66.78,66.78,0
,Brent Pineda,31/05/2014 09:45,20/04/2014 00:00,20/05/2014 00:00,6/6/14 14:35,66.98,66.98,0
,Jessica Lynch,6/9/14 10:48,26/07/2014 00:00,25/08/2014 00:00,6/9/14 11:12,66.98,66.98,0
,Ruth Kelly,31/08/2017 10:22,29/08/2017 00:00,28/09/2017 00:00,10/10/17 10:46,66.98,54.44,12.54
,Stephanie Berry,25/05/2017 09:10,23/05/2017 00:00,22/06/2017 00:00,16/06/2017 13:47,66.98,66.98,0
,Stephanie Smith,27/05/2014 14:25,24/05/2014 00:00,23/06/2014 00:00,9/7/14 8:33,66.98,66.98,0
